#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g737.t1              -          PF00047_full         -                  0 2369.3   0.0   1.2e-17   65.3   0.0  73.2  18  14  53  73  73  73  71 -
g15993.t2            -          PF00047_full         -             6e-298  978.7 103.2   4.2e-12   47.2   0.4  28.7   5   3  23  29  29  29  27 -
g26905.t1            -          PF00047_full         -            1.4e-17   65.1   1.3   1.4e-17   65.1   1.3   2.6   2   0   0   2   2   1   1 -
g7547.t1             -          PF00047_full         -            1.8e-17   64.7  15.0   8.6e-08   33.1   0.2   4.2   1   1   2   3   3   3   3 -
g12665.t1            -          PF00047_full         -            4.3e-17   63.4   4.1   1.1e-06   29.5   0.1   3.2   1   1   2   3   3   3   3 -
g22411.t1            -          PF00047_full         -            4.6e-17   63.4  11.6   1.5e-11   45.4   0.4   3.2   2   1   1   3   3   2   2 -
g31125.t1            -          PF00047_full         -            7.5e-17   62.7  10.9   2.3e-08   35.0   1.3   3.1   2   1   1   3   3   2   2 -
g31118.t1            -          PF00047_full         -            1.1e-16   62.1   8.7   7.8e-08   33.3   0.1   3.9   3   1   1   4   4   3   2 -
g31112.t1            -          PF00047_full         -            1.4e-16   61.8   3.1   1.4e-13   52.0   0.0   2.8   1   1   1   2   2   2   1 -
g30183.t3            -          PF00047_full         -            1.5e-16   61.7   0.4   2.8e-16   60.8   0.4   1.4   1   0   0   1   1   1   1 -
g31112.t2            -          PF00047_full         -            1.5e-16   61.7   3.2   1.2e-13   52.2   0.1   2.8   1   1   1   2   2   2   1 -
g30183.t2            -          PF00047_full         -            1.5e-16   61.7   0.4   2.9e-16   60.8   0.4   1.4   1   0   0   1   1   1   1 -
g20033.t2            -          PF00047_full         -            1.8e-16   61.4   7.5   6.3e-10   40.1   0.1   3.8   1   1   2   3   3   3   2 -
g22425.t1            -          PF00047_full         -            1.8e-16   61.4   1.0   2.5e-13   51.2   0.2   2.3   2   0   0   2   2   2   1 -
g20210.t2            -          PF00047_full         -              2e-16   61.3   3.3   3.8e-07   31.0   0.2   2.2   1   1   1   2   2   2   2 -
g30183.t1            -          PF00047_full         -              2e-16   61.3   0.3   3.8e-16   60.4   0.3   1.4   1   0   0   1   1   1   1 -
g23632.t1            -          PF00047_full         -            2.3e-16   61.1  23.6   1.8e-09   38.6   2.7   4.9   2   1   3   5   5   4   3 -
g23624.t1            -          PF00047_full         -            2.4e-16   61.0  29.8   5.5e-08   33.8   2.0   6.5   3   2   3   6   6   5   3 -
g23430.t1            -          PF00047_full         -            3.7e-16   60.4   6.6   3.2e-06   28.0   0.6   3.2   1   1   2   3   3   3   2 -
g12777.t1            -          PF00047_full         -            5.5e-16   59.8   9.0   6.3e-10   40.1   0.0   4.1   3   1   1   4   4   3   2 -
g3771.t1             -          PF00047_full         -            6.3e-16   59.6   1.8   6.3e-16   59.6   1.8   2.2   2   0   0   2   2   1   1 -
g12777.t2            -          PF00047_full         -            7.2e-16   59.5   8.9   6.9e-10   40.0   0.0   4.0   3   1   0   4   4   3   2 -
g7147.t1             -          PF00047_full         -            9.7e-16   59.0   0.5   1.4e-07   32.5   0.0   2.5   1   1   1   2   2   2   2 -
g19448.t2            -          PF00047_full         -            1.3e-15   58.7   0.5   2.4e-15   57.7   0.5   1.4   1   0   0   1   1   1   1 -
g12775.t1            -          PF00047_full         -            1.5e-15   58.4   4.6   1.5e-08   35.6   0.0   4.1   4   1   0   4   4   3   2 -
g19448.t1            -          PF00047_full         -              2e-15   58.1   0.5   3.7e-15   57.1   0.5   1.4   1   0   0   1   1   1   1 -
g4847.t1             -          PF00047_full         -            2.1e-15   58.0   4.2   1.4e-07   32.4   0.1   2.1   1   1   1   2   2   2   2 -
g9411.t1             -          PF00047_full         -            2.3e-15   57.8   0.0     4e-15   57.0   0.0   1.3   1   0   0   1   1   1   1 -
g9412.t2             -          PF00047_full         -            2.4e-15   57.8   0.0   3.7e-15   57.2   0.0   1.2   1   0   0   1   1   1   1 -
g9412.t1             -          PF00047_full         -            3.1e-15   57.4   0.0     5e-15   56.7   0.0   1.2   1   0   0   1   1   1   1 -
g6712.t1             -          PF00047_full         -            4.9e-15   56.7   9.7   1.1e-08   36.0   0.1   4.6   2   1   3   5   5   5   2 -
g7276.t1             -          PF00047_full         -            4.9e-15   56.7   0.0   8.5e-15   56.0   0.0   1.3   1   0   0   1   1   1   1 -
g23025.t1            -          PF00047_full         -            5.4e-15   56.6   5.4   1.7e-10   41.9   0.9   3.1   2   1   0   2   2   2   2 -
g19453.t1            -          PF00047_full         -            8.4e-15   56.0   1.2   1.2e-14   55.4   1.2   1.3   1   0   0   1   1   1   1 -
g19453.t2            -          PF00047_full         -            1.1e-14   55.5   1.2   1.7e-14   55.0   1.2   1.3   1   0   0   1   1   1   1 -
g19451.t1            -          PF00047_full         -            1.4e-14   55.3   0.7   2.2e-14   54.6   0.7   1.3   1   0   0   1   1   1   1 -
g18905.t1            -          PF00047_full         -            1.5e-14   55.1  18.4   1.1e-07   32.8   0.4   3.8   1   1   2   3   3   3   3 -
g30148.t1            -          PF00047_full         -            1.7e-14   55.0   0.1   9.8e-06   26.4   0.0   2.5   2   0   0   2   2   2   2 -
g7459.t1             -          PF00047_full         -            1.8e-14   54.9   2.2   6.3e-14   53.1   0.1   2.1   1   1   1   2   2   2   1 -
g19571.t1            -          PF00047_full         -            3.4e-14   54.0   1.5   5.2e-14   53.4   1.5   1.3   1   0   0   1   1   1   1 -
g19457.t1            -          PF00047_full         -            3.4e-14   54.0   0.2   5.6e-14   53.3   0.2   1.3   1   0   0   1   1   1   1 -
g31119.t1            -          PF00047_full         -            3.4e-14   54.0   4.9   6.5e-06   27.0   0.3   3.3   2   1   1   3   3   3   2 -
g6084.t1             -          PF00047_full         -            3.8e-14   53.8   0.6   6.1e-14   53.2   0.6   1.3   1   0   0   1   1   1   1 -
g4848.t1             -          PF00047_full         -            6.7e-14   53.0   1.2   6.3e-07   30.3   0.4   2.4   2   0   0   2   2   2   2 -
g15651.t1            -          PF00047_full         -              1e-13   52.4   0.8   1.2e-06   29.4   0.1   2.1   1   1   1   2   2   2   2 -
g23624.t2            -          PF00047_full         -              1e-13   52.4  21.6   8.1e-08   33.2   3.9   5.2   3   2   2   5   5   4   2 -
g15453.t1            -          PF00047_full         -            1.1e-13   52.3   0.5   2.2e-06   28.5   0.0   2.5   1   1   1   2   2   2   2 -
g6088.t1             -          PF00047_full         -            1.5e-13   51.9   0.0   2.3e-13   51.3   0.0   1.3   1   0   0   1   1   1   1 -
g31498.t1            -          PF00047_full         -            1.5e-13   51.9   0.1   4.6e-13   50.3   0.1   1.8   1   0   0   1   1   1   1 -
g4844.t1             -          PF00047_full         -            1.7e-13   51.7   1.2   1.6e-06   29.0   0.0   2.5   2   0   0   2   2   2   2 -
g7455.t1             -          PF00047_full         -              2e-13   51.5   0.0     2e-13   51.5   0.0   1.0   1   0   0   1   1   1   1 -
g4847.t2             -          PF00047_full         -              2e-13   51.5   4.7     6e-06   27.1   1.2   2.1   1   1   1   2   2   2   2 -
g31031.t2            -          PF00047_full         -              2e-13   51.5   0.1   3.9e-13   50.6   0.1   1.4   1   0   0   1   1   1   1 -
g22959.t1            -          PF00047_full         -            3.2e-13   50.8   1.0   1.3e-11   45.6   0.2   2.5   1   1   1   2   2   2   1 -
g22427.t2            -          PF00047_full         -            3.3e-13   50.8   1.5   5.9e-13   50.0   1.5   1.4   1   0   0   1   1   1   1 -
g3440.t1             -          PF00047_full         -            4.1e-13   50.5   0.8   3.8e-05   24.5   0.2   3.0   2   2   1   3   3   2   2 -
g15650.t1            -          PF00047_full         -            5.1e-13   50.2   0.6   7.1e-06   26.9   0.1   2.1   1   1   1   2   2   2   2 -
g18410.t1            -          PF00047_full         -              7e-13   49.7   0.8   1.3e-12   48.8   0.8   1.4   1   0   0   1   1   1   1 -
g22427.t1            -          PF00047_full         -            1.1e-12   49.1   3.2   1.1e-12   49.1   1.5   1.8   2   0   0   2   2   1   1 -
g14439.t2            -          PF00047_full         -            1.4e-12   48.8   1.7   2.3e-12   48.0   1.7   1.4   1   0   0   1   1   1   1 -
g2660.t1             -          PF00047_full         -            1.4e-12   48.7   0.1   5.5e-06   27.3   0.0   2.1   1   1   1   2   2   2   2 -
g1810.t1             -          PF00047_full         -              2e-12   48.3   8.1   8.3e-06   26.7   0.2   2.7   2   1   1   3   3   2   2 -
g14439.t1            -          PF00047_full         -              2e-12   48.3   1.6   3.3e-12   47.5   1.6   1.4   1   0   0   1   1   1   1 -
g30136.t3            -          PF00047_full         -            2.7e-12   47.8  17.2   4.6e-08   34.0   5.6   3.5   1   1   2   3   3   3   2 -
g4845.t1             -          PF00047_full         -            3.9e-12   47.3   4.3   1.5e-06   29.1   0.3   2.9   1   1   1   2   2   2   2 -
g14441.t1            -          PF00047_full         -            4.7e-12   47.0   0.3   1.5e-11   45.4   0.3   1.8   1   0   0   1   1   1   1 -
g6139.t1             -          PF00047_full         -            9.5e-12   46.0   0.0   1.2e-11   45.7   0.0   1.1   1   0   0   1   1   1   1 -
g22429.t1            -          PF00047_full         -            1.1e-11   45.8   0.8   1.8e-11   45.1   0.3   1.7   2   0   0   2   2   1   1 -
g4840.t1             -          PF00047_full         -            1.4e-11   45.4   6.9   1.3e-05   26.1   2.1   2.7   2   1   0   2   2   2   2 -
g3990.t2             -          PF00047_full         -            1.6e-11   45.3   1.5     4e-11   44.0   1.5   1.7   1   0   0   1   1   1   1 -
g3990.t1             -          PF00047_full         -            1.6e-11   45.3   2.8   3.6e-11   44.2   2.8   1.6   1   1   0   1   1   1   1 -
g18411.t1            -          PF00047_full         -            1.7e-11   45.2   2.7   1.7e-11   45.2   2.7   1.9   2   0   0   2   2   1   1 -
g3740.t1             -          PF00047_full         -            1.7e-11   45.2   0.0   3.5e-11   44.2   0.0   1.4   1   0   0   1   1   1   1 -
g18411.t2            -          PF00047_full         -            1.7e-11   45.2   2.7   1.7e-11   45.2   2.7   1.9   2   0   0   2   2   1   1 -
g23275.t1            -          PF00047_full         -            1.8e-11   45.2   4.2   3.1e-11   44.4   4.2   1.4   1   1   0   1   1   1   1 -
g10108.t1            -          PF00047_full         -              2e-11   45.0   0.2   3.4e-10   41.0   0.0   2.5   2   0   0   2   2   2   1 -
g31126.t1            -          PF00047_full         -            2.2e-11   44.8   0.6   5.7e-11   43.5   0.4   1.8   1   1   0   1   1   1   1 -
g7531.t1             -          PF00047_full         -            2.2e-11   44.8   8.0   4.6e-05   24.3   1.2   3.4   1   1   2   3   3   3   2 -
g31027.t1            -          PF00047_full         -            2.4e-11   44.7   0.0   4.6e-11   43.8   0.0   1.4   1   0   0   1   1   1   1 -
g16001.t1            -          PF00047_full         -            2.9e-11   44.4   2.3   6.7e-06   27.0   0.0   2.7   3   0   0   3   3   2   2 -
g9909.t1             -          PF00047_full         -            4.3e-11   43.9   2.4   9.8e-07   29.7   0.1   2.6   1   1   0   2   2   2   2 -
g12674.t2            -          PF00047_full         -            1.8e-10   41.9   4.9   5.4e-05   24.0   0.2   2.5   1   1   1   2   2   2   2 -
g3989.t1             -          PF00047_full         -            1.8e-10   41.8   1.2   4.1e-10   40.7   1.2   1.6   1   1   0   1   1   1   1 -
g12674.t1            -          PF00047_full         -            1.9e-10   41.8   4.8   5.7e-05   23.9   0.2   2.5   1   1   1   2   2   2   2 -
g31143.t1            -          PF00047_full         -              2e-10   41.7  16.9   1.4e-06   29.2   2.2   3.8   2   1   1   4   4   3   2 -
g3442.t1             -          PF00047_full         -            2.3e-10   41.5   2.6    0.0015   19.3   0.1   3.3   2   2   1   3   3   3   2 -
g10229.t2            -          PF00047_full         -            2.3e-10   41.5   1.7   2.3e-10   41.5   0.1   1.8   2   0   0   2   2   1   1 -
g11604.t1            -          PF00047_full         -            2.4e-10   41.5   0.0   4.6e-10   40.5   0.0   1.4   1   0   0   1   1   1   1 -
g20183.t1            -          PF00047_full         -            3.1e-10   41.1   0.1   5.3e-10   40.3   0.1   1.3   1   0   0   1   1   1   1 -
g73.t1               -          PF00047_full         -            3.2e-10   41.1   0.8   5.5e-08   33.8   0.1   3.0   3   0   0   3   3   3   1 -
g16369.t1            -          PF00047_full         -            3.4e-10   41.0   0.2   6.5e-10   40.1   0.2   1.5   1   0   0   1   1   1   1 -
g9906.t1             -          PF00047_full         -            3.9e-10   40.8   2.6     8e-06   26.7   0.1   2.4   1   1   0   2   2   2   2 -
g6483.t2             -          PF00047_full         -            4.3e-10   40.6   0.1     8e-10   39.8   0.1   1.3   1   0   0   1   1   1   1 -
g6486.t2             -          PF00047_full         -            4.4e-10   40.6   0.1     8e-10   39.8   0.1   1.3   1   0   0   1   1   1   1 -
g6483.t1             -          PF00047_full         -            4.4e-10   40.6   0.1   8.1e-10   39.7   0.1   1.3   1   0   0   1   1   1   1 -
g6486.t1             -          PF00047_full         -            4.5e-10   40.6   0.1   8.1e-10   39.7   0.1   1.3   1   0   0   1   1   1   1 -
g12666.t2            -          PF00047_full         -            4.7e-10   40.5   4.2   5.9e-06   27.2   0.3   3.2   2   1   0   3   3   3   2 -
g3989.t2             -          PF00047_full         -            4.9e-10   40.5   0.9   1.2e-09   39.2   0.9   1.7   1   1   0   1   1   1   1 -
g12666.t1            -          PF00047_full         -            4.9e-10   40.4   3.6   5.9e-06   27.1   0.3   3.1   2   1   0   3   3   3   2 -
g30138.t1            -          PF00047_full         -            5.3e-10   40.3   0.5   1.1e-09   39.3   0.5   1.5   1   0   0   1   1   1   1 -
g31143.t2            -          PF00047_full         -            5.9e-10   40.2  20.9   1.7e-06   29.0   1.3   3.8   2   1   1   4   4   3   2 -
g10218.t2            -          PF00047_full         -            6.7e-10   40.0   0.2   6.7e-10   40.0   0.2   1.9   2   0   0   2   2   1   1 -
g12664.t1            -          PF00047_full         -              8e-10   39.8   2.8   9.2e-06   26.5   0.6   3.2   1   1   2   3   3   3   1 -
g16371.t1            -          PF00047_full         -            1.2e-09   39.2   0.2   2.5e-09   38.2   0.2   1.6   1   0   0   1   1   1   1 -
g3770.t1             -          PF00047_full         -            1.5e-09   38.9   0.0   2.9e-09   37.9   0.0   1.4   1   0   0   1   1   1   1 -
g17833.t1            -          PF00047_full         -            1.6e-09   38.8   0.0   2.8e-09   38.0   0.0   1.3   1   0   0   1   1   1   1 -
g31611.t1            -          PF00047_full         -            2.2e-09   38.4   0.1   5.6e-09   37.0   0.1   1.7   1   0   0   1   1   1   1 -
g6488.t1             -          PF00047_full         -            6.4e-09   36.8   0.0   1.2e-08   36.0   0.0   1.3   1   0   0   1   1   1   1 -
g11588.t1            -          PF00047_full         -            7.2e-09   36.7   3.7   9.3e-09   36.3   0.1   2.3   2   0   0   2   2   2   1 -
g19165.t2            -          PF00047_full         -            7.9e-09   36.5   0.0   1.6e-08   35.5   0.0   1.4   1   0   0   1   1   1   1 -
g11196.t1            -          PF00047_full         -              8e-09   36.5   3.2     1e-07   32.9   3.7   2.3   2   0   0   2   2   2   1 -
g684.t1              -          PF00047_full         -            8.2e-09   36.5   0.0   1.6e-08   35.5   0.0   1.3   1   0   0   1   1   1   1 -
g19165.t1            -          PF00047_full         -            8.4e-09   36.4   0.0   1.6e-08   35.5   0.0   1.4   1   0   0   1   1   1   1 -
g641.t1              -          PF00047_full         -            1.1e-08   36.1   0.3   3.7e-08   34.3   0.3   1.9   1   0   0   1   1   1   1 -
g16353.t1            -          PF00047_full         -            1.4e-08   35.8   1.5   1.4e-08   35.8   1.5   2.9   3   0   0   3   3   2   1 -
g6489.t1             -          PF00047_full         -            1.4e-08   35.7   0.0   1.9e-08   35.3   0.0   1.2   1   0   0   1   1   1   1 -
g4843.t1             -          PF00047_full         -              2e-08   35.2  10.9    0.0016   19.2   0.2   3.3   2   1   0   2   2   2   2 -
g12793.t1            -          PF00047_full         -            2.7e-08   34.8   7.6     3e-08   34.6   2.8   2.5   2   1   1   3   3   3   1 -
g16353.t2            -          PF00047_full         -            2.8e-08   34.7   5.2   1.6e-07   32.2   0.1   2.9   3   0   0   3   3   2   1 -
g7510.t1             -          PF00047_full         -            3.1e-08   34.6   1.0   6.2e-08   33.6   1.0   1.5   1   0   0   1   1   1   1 -
g15644.t1            -          PF00047_full         -            4.4e-08   34.1   0.3   4.4e-08   34.1   0.3   1.6   2   0   0   2   2   1   1 -
g1173.t1             -          PF00047_full         -            5.7e-08   33.7   0.4   1.6e-07   32.3   0.0   1.7   2   0   0   2   2   1   1 -
g13500.t3            -          PF00047_full         -            6.6e-08   33.5   1.3   3.1e-07   31.3   1.3   2.2   1   0   0   1   1   1   1 -
g31145.t1            -          PF00047_full         -            6.9e-08   33.4   6.2   3.7e-07   31.1   2.5   3.1   2   1   1   3   3   3   1 -
g15630.t1            -          PF00047_full         -              7e-08   33.4   0.8   9.6e-08   33.0   0.8   1.2   1   0   0   1   1   1   1 -
g6492.t2             -          PF00047_full         -            9.8e-08   33.0   0.0   1.7e-07   32.2   0.0   1.4   1   0   0   1   1   1   1 -
g6492.t1             -          PF00047_full         -            1.2e-07   32.7   0.0     2e-07   32.0   0.0   1.4   1   0   0   1   1   1   1 -
g17011.t1            -          PF00047_full         -            1.5e-07   32.3   1.2   1.5e-07   32.3   1.2   2.0   2   0   0   2   2   1   1 -
g23621.t1            -          PF00047_full         -            1.7e-07   32.1   6.0   3.4e-06   27.9   0.2   3.2   1   1   1   2   2   2   1 -
g16368.t1            -          PF00047_full         -            1.8e-07   32.1   0.6   3.6e-07   31.1   0.6   1.4   1   0   0   1   1   1   1 -
g12788.t1            -          PF00047_full         -            1.8e-07   32.1   9.9     4e-06   27.7   2.3   2.9   1   1   1   2   2   2   1 -
g11603.t1            -          PF00047_full         -            2.3e-07   31.8   0.0   4.9e-07   30.7   0.0   1.5   1   0   0   1   1   1   1 -
g1173.t3             -          PF00047_full         -            2.3e-07   31.7   0.6   4.9e-07   30.7   0.0   1.7   2   0   0   2   2   1   1 -
g962.t1              -          PF00047_full         -            3.1e-07   31.3   2.7     0.017   15.9   0.4   2.7   1   1   1   2   2   2   2 -
g4845.t2             -          PF00047_full         -            3.4e-07   31.2   0.5   1.2e-06   29.4   0.5   1.9   1   1   0   1   1   1   1 -
g10114.t1            -          PF00047_full         -            4.3e-07   30.9   0.0   4.3e-07   30.9   0.0   2.2   2   1   1   3   3   1   1 -
g10114.t2            -          PF00047_full         -            4.4e-07   30.8   0.0   4.4e-07   30.8   0.0   2.2   2   1   1   3   3   1   1 -
g17012.t1            -          PF00047_full         -            5.2e-07   30.6   1.6   1.1e-06   29.5   1.6   1.5   1   0   0   1   1   1   1 -
g4293.t1             -          PF00047_full         -              6e-07   30.4   0.5   1.3e-06   29.3   0.5   1.5   1   0   0   1   1   1   1 -
g9897.t1             -          PF00047_full         -            8.5e-07   29.9   0.4   1.2e-06   29.4   0.0   1.4   2   0   0   2   2   1   1 -
g1809.t3             -          PF00047_full         -            8.8e-07   29.9   0.2   8.8e-07   29.9   0.2   1.4   2   0   0   2   2   1   1 -
g7864.t1             -          PF00047_full         -            1.6e-06   29.0   0.3   4.2e-06   27.6   0.3   1.9   1   1   0   1   1   1   1 -
g32342.t1            -          PF00047_full         -            1.7e-06   28.9   0.1   0.00043   21.1   0.0   2.3   2   0   0   2   2   2   1 -
g1809.t2             -          PF00047_full         -            2.8e-06   28.2   0.3   5.4e-06   27.3   0.3   1.4   1   0   0   1   1   1   1 -
g551.t2              -          PF00047_full         -            3.1e-06   28.1   1.3     0.085   13.6   0.0   2.3   1   1   1   2   2   2   2 -
g12899.t1            -          PF00047_full         -            3.5e-06   27.9   0.8      0.05   14.3   0.0   2.5   3   0   0   3   3   2   2 -
g1809.t1             -          PF00047_full         -              4e-06   27.7   0.3   8.4e-06   26.7   0.3   1.5   1   0   0   1   1   1   1 -
g551.t1              -          PF00047_full         -            4.1e-06   27.7   1.3     0.099   13.4   0.0   2.3   1   1   1   2   2   2   2 -
g30137.t1            -          PF00047_full         -            4.4e-06   27.6   5.0   2.4e-05   25.2   0.9   3.1   2   1   1   3   3   3   1 -
g8391.t1             -          PF00047_full         -            5.1e-06   27.4   0.0   1.5e-05   25.8   0.0   1.8   1   0   0   1   1   1   1 -
g6125.t1             -          PF00047_full         -            7.7e-06   26.8   1.7   1.8e-05   25.6   1.7   1.6   1   1   0   1   1   1   1 -
g31804.t1            -          PF00047_full         -            8.4e-06   26.7   0.0   3.1e-05   24.8   0.0   2.0   1   0   0   1   1   1   1 -
g23632.t2            -          PF00047_full         -            9.6e-06   26.5  12.0    0.0003   21.6   3.3   4.0   2   1   2   4   4   3   1 -
g6737.t1             -          PF00047_full         -            1.4e-05   25.9   0.2   1.4e-05   25.9   0.2   1.6   2   0   0   2   2   1   1 -
g8392.t1             -          PF00047_full         -            2.2e-05   25.3   0.2   7.4e-05   23.6   0.2   1.9   1   0   0   1   1   1   1 -
g11237.t1            -          PF00047_full         -            3.4e-05   24.7   0.1   3.4e-05   24.7   0.1   2.3   3   0   0   3   3   1   1 -
g23622.t1            -          PF00047_full         -            4.1e-05   24.4   0.0     6e-05   23.9   0.0   1.4   1   1   0   1   1   1   1 -
g11261.t1            -          PF00047_full         -            5.7e-05   24.0   0.1   0.00014   22.7   0.1   1.6   1   0   0   1   1   1   1 -
g4844.t2             -          PF00047_full         -            0.00013   22.7   0.3   0.00031   21.5   0.3   1.5   1   0   0   1   1   1   1 -
g71.t1               -          PF00047_full         -            0.00014   22.7   4.8   0.00042   21.1   4.8   1.7   1   1   0   1   1   1   1 -
g7318.t1             -          PF00047_full         -            0.00024   21.9   0.2    0.0016   19.2   0.0   2.2   1   1   1   2   2   1   1 -
g72.t1               -          PF00047_full         -            0.00038   21.3   2.7   0.00092   20.0   2.7   1.6   1   1   0   1   1   1   1 -
g25332.t1            -          PF00047_full         -            0.00075   20.3   0.5    0.0026   18.5   0.5   1.9   1   0   0   1   1   1   1 -
g2285.t1             -          PF00047_full         -            0.00096   19.9   6.1    0.0014   19.5   0.0   3.0   2   1   1   3   3   2   1 -
g26147.t2            -          PF00047_full         -              0.001   19.9   0.8    0.0024   18.7   0.8   1.6   1   0   0   1   1   1   1 -
g21155.t1            -          PF00047_full         -              0.001   19.8   0.5    0.0018   19.0   0.5   1.4   1   0   0   1   1   1   1 -
g26147.t1            -          PF00047_full         -             0.0011   19.8   0.8    0.0025   18.6   0.8   1.6   1   0   0   1   1   1   1 -
g25468.t1            -          PF00047_full         -             0.0018   19.1   0.0     0.002   18.9   0.0   1.3   1   1   0   1   1   1   1 -
g7536.t1             -          PF00047_full         -             0.0047   17.7   0.0    0.0065   17.2   0.0   1.2   1   0   0   1   1   1   1 -
g7499.t2             -          PF00047_full         -             0.0054   17.5   0.0      0.23   12.2   0.0   2.6   2   0   0   2   2   2   1 -
g7499.t1             -          PF00047_full         -             0.0064   17.3   0.0      0.25   12.1   0.0   2.6   2   0   0   2   2   2   1 -
g26151.t1            -          PF00047_full         -             0.0086   16.8   0.2      0.24   12.2   0.1   2.2   2   0   0   2   2   2   1 -
g30140.t1            -          PF00047_full         -              0.016   16.0   0.3     0.029   15.1   0.3   1.3   1   0   0   1   1   1   0 -
g25470.t1            -          PF00047_full         -              0.024   15.4   0.2     0.041   14.6   0.2   1.5   1   1   0   1   1   1   0 -
g30163.t1            -          PF00047_full         -               0.03   15.1   0.9      0.43   11.3   0.0   2.9   2   1   1   3   3   1   0 -
g30141.t1            -          PF00047_full         -              0.042   14.6   1.0     0.099   13.4   1.0   1.6   1   1   0   1   1   1   0 -
g28405.t1            -          PF00047_full         -              0.049   14.4   0.1     0.084   13.6   0.1   1.4   1   0   0   1   1   1   0 -
g2023.t1             -          PF00047_full         -                0.1   13.3   0.1      0.26   12.0   0.1   1.7   1   1   0   1   1   1   0 -
g13470.t1            -          PF00047_full         -               0.12   13.1   0.2      0.22   12.3   0.2   1.4   1   0   0   1   1   1   0 -
g24616.t1            -          PF00047_full         -               0.13   13.0   0.0      0.19   12.5   0.0   1.3   1   0   0   1   1   1   0 -
g2661.t1             -          PF00047_full         -               0.17   12.7   0.0       1.2    9.8   0.0   2.0   1   1   1   2   2   2   0 -
g3987.t1             -          PF00047_full         -               0.27   11.9  10.3      0.21   12.3   8.3   1.8   1   1   1   2   2   1   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../output/PF00047_full_profile.hmm
# Target file:     ../input/braker_aa_files/a_hyactintus_soft_mask_braker.pep
# Option settings: hmmsearch --tblout ../output/hmmer_txt_output/braker3_soft_masked/a_hyactintus_soft_mask_braker_PF00047_full_profile_hmmer_braker3_results.txt ../output/PF00047_full_profile.hmm ../input/braker_aa_files/a_hyactintus_soft_mask_braker.pep 
# Current dir:     /home/tanya/Work_files/TIR_Domains/Coral/procedure
# Date:            Thu Oct 17 19:41:12 2024
# [ok]
